Date,Code,Name,Close,High,Low,Open,Volume
2018-01-15,'601318,中国平安,77.65,78.5,75.35,75.35,15506926306.0
2018-01-12,'601318,中国平安,74.41,74.5,72.33,72.66,9412700286.0
2018-01-11,'601318,中国平安,72.65,73.12,71.0,71.05,7942591596.0
2018-01-10,'601318,中国平安,71.72,71.87,70.71,71.6,5908131847.0
2018-01-09,'601318,中国平安,71.87,72.08,70.03,70.3,8846740744.0
2018-01-08,'601318,中国平安,70.01,70.79,69.32,70.79,8582728348.0
2018-01-05,'601318,中国平安,70.89,71.88,70.45,71.59,5478422385.0
2018-01-04,'601318,中国平安,71.18,72.2,70.55,71.02,7558632047.0
2018-01-03,'601318,中国平安,70.97,73.9,70.11,73.4,12887286352.0
2018-01-02,'601318,中国平安,72.59,72.8,70.18,70.21,8873521553.0
