日期,股票代码,名称,收盘价,最高价,最低价,开盘价,成交金额
2018-01-05,'601857,中国石油,8.59,8.66,8.48,8.53,875275600.0
2018-01-04,'601857,中国石油,8.55,8.79,8.32,8.34,1301096070.0
2018-01-03,'601857,中国石油,8.27,8.37,8.21,8.23,392423555.0
2018-01-02,'601857,中国石油,8.25,8.33,8.08,8.09,504750225.0
2017-12-29,'601857,中国石油,8.09,8.13,8.05,8.06,193083877.0
2017-12-28,'601857,中国石油,8.06,8.12,8.02,8.07,202762590.0
2017-12-27,'601857,中国石油,8.09,8.18,8.08,8.09,304450028.0
2017-12-26,'601857,中国石油,8.07,8.09,8.01,8.02,159039408.0
2017-12-25,'601857,中国石油,8.04,8.12,8.01,8.08,169164792.0
2017-12-22,'601857,中国石油,8.09,8.12,7.95,7.99,342894030.0
2017-12-21,'601857,中国石油,7.98,8.0,7.89,7.94,207253191.0
2017-12-20,'601857,中国石油,7.94,7.96,7.9,7.93,203894324.0
2017-12-19,'601857,中国石油,7.89,7.91,7.86,7.88,129744448.0
2017-12-18,'601857,中国石油,7.88,7.9,7.84,7.87,164226024.0
2017-12-15,'601857,中国石油,7.87,7.94,7.86,7.94,221702480.0
2017-12-14,'601857,中国石油,7.94,8.04,7.91,8.03,319916463.0
2017-12-13,'601857,中国石油,8.02,8.05,8.0,8.01,197199405.0
2017-12-12,'601857,中国石油,8.02,8.12,8.0,8.1,249621468.0
2017-12-11,'601857,中国石油,8.09,8.14,8.05,8.06,246045812.0
2017-12-08,'601857,中国石油,8.06,8.07,8.0,8.04,312231669.0
2017-12-07,'601857,中国石油,8.05,8.1,8.02,8.04,277573739.0
2017-12-06,'601857,中国石油,8.09,8.19,8.06,8.18,394839621.0
2017-12-05,'601857,中国石油,8.22,8.24,8.1,8.15,457808450.0
2017-12-04,'601857,中国石油,8.17,8.22,8.13,8.16,271764219.0
2017-12-01,'601857,中国石油,8.16,8.21,8.12,8.18,226050349.0
2017-11-30,'601857,中国石油,8.17,8.25,8.14,8.18,284522273.0
2017-11-29,'601857,中国石油,8.24,8.34,8.19,8.21,350481104.0
2017-11-28,'601857,中国石油,8.21,8.35,8.18,8.31,389336986.0
2017-11-27,'601857,中国石油,8.34,8.55,8.32,8.4,489085647.0
2017-11-24,'601857,中国石油,8.4,8.44,8.22,8.27,541272855.0
2017-11-23,'601857,中国石油,8.29,8.47,8.28,8.41,652383970.0
2017-11-22,'601857,中国石油,8.4,8.43,8.18,8.21,644979462.0
2017-11-21,'601857,中国石油,8.22,8.27,8.06,8.14,516898089.0
2017-11-20,'601857,中国石油,8.18,8.23,8.1,8.11,500081050.0
2017-11-17,'601857,中国石油,8.12,8.13,8.04,8.1,490547899.0
2017-11-16,'601857,中国石油,8.08,8.17,8.06,8.14,326493319.0
2017-11-15,'601857,中国石油,8.15,8.3,8.14,8.3,470168012.0
2017-11-14,'601857,中国石油,8.36,8.42,8.33,8.37,274714945.0
2017-11-13,'601857,中国石油,8.4,8.45,8.31,8.4,415151129.0
2017-11-10,'601857,中国石油,8.39,8.54,8.34,8.5,472776872.0
2017-11-09,'601857,中国石油,8.52,8.53,8.44,8.49,322430600.0
2017-11-08,'601857,中国石油,8.5,8.57,8.44,8.55,692602087.0
2017-11-07,'601857,中国石油,8.59,8.67,8.44,8.45,996095747.0
2017-11-06,'601857,中国石油,8.38,8.46,8.31,8.38,519015601.0
2017-11-03,'601857,中国石油,8.32,8.5,8.27,8.39,573122464.0
2017-11-02,'601857,中国石油,8.39,8.43,8.33,8.36,389432221.0
2017-11-01,'601857,中国石油,8.39,8.43,8.25,8.27,687248961.0
2017-10-31,'601857,中国石油,8.27,8.3,8.22,8.27,393957807.0
2017-10-30,'601857,中国石油,8.3,8.35,8.11,8.15,835501367.0
2017-10-27,'601857,中国石油,8.13,8.19,8.1,8.18,289734279.0
2017-10-26,'601857,中国石油,8.17,8.17,8.09,8.13,237183645.0
2017-10-25,'601857,中国石油,8.13,8.17,8.1,8.15,218655730.0
2017-10-24,'601857,中国石油,8.17,8.23,8.12,8.13,337284932.0
2017-10-23,'601857,中国石油,8.15,8.17,8.09,8.15,226401427.0
2017-10-20,'601857,中国石油,8.15,8.22,8.13,8.21,280790234.0
2017-10-19,'601857,中国石油,8.27,8.28,8.17,8.2,505635939.0
2017-10-18,'601857,中国石油,8.25,8.28,8.03,8.05,822514068.0
2017-10-17,'601857,中国石油,8.05,8.09,8.02,8.05,195937318.0
2017-10-16,'601857,中国石油,8.05,8.06,7.97,7.98,347572147.0
2017-10-13,'601857,中国石油,7.98,7.98,7.95,7.97,118639642.0
2017-10-12,'601857,中国石油,7.97,8.0,7.95,8.0,135712263.0
2017-10-11,'601857,中国石油,8.0,8.01,7.98,8.0,158066016.0
2017-10-10,'601857,中国石油,8.0,8.0,7.96,7.98,138820615.0
2017-10-09,'601857,中国石油,7.98,8.04,7.96,8.04,217707101.0
2017-09-29,'601857,中国石油,7.99,8.02,7.95,8.0,135822134.0
2017-09-28,'601857,中国石油,8.0,8.05,7.95,8.04,207714523.0
2017-09-27,'601857,中国石油,8.05,8.1,8.04,8.07,181213447.0
2017-09-26,'601857,中国石油,8.09,8.15,8.05,8.08,307836523.0
2017-09-25,'601857,中国石油,8.06,8.09,7.89,7.91,455782423.0
